,MK_sig_frac,Monotonicity,Trendability,MI,VIF,MK_norm,Mono_norm,Trend_norm,MI_norm,VIF_norm,Composite
T24,1.0,0.031887349484009696,0.621312751438043,0.26865202899968654,1.9845881678400952,0.9999999961764705,0.06787674540186049,0.4711033582699771,0.3803592509111576,0.9420517128436162,0.5722782127206163
T30,1.0,0.0349321169314673,0.6068374251940172,0.253313521647196,1.8889776800482765,0.9999999961764705,0.2986557428332837,0.4272100362949139,0.33517782859769224,0.9522546575943931,0.6026596522993507
T50,1.0,0.04111811884107791,0.7461736242752861,0.41782274255926666,3.149936618948487,0.9999999961764705,0.7675254819658601,0.849717173333002,0.8197595687681629,0.8176931185443017,0.8509390677575593
P30,1.0,0.03531974224709989,0.49880053941793784,0.16834892394056222,1.5894318492098853,0.9999999961764705,0.3280359116850706,0.09961135336300304,0.084904364403421,0.9842202884886136,0.49935438282331573
Nf,0.7384615384615385,0.03447543519026951,0.4792277828934247,0.21811732749519397,8.999320816681324,0.0,0.26404142295579475,0.040261167426810865,0.23150319616677867,0.19348394260657242,0.14585794583119133
Nc,0.9192307692307692,0.04032671069700309,0.6030796275364297,0.1702191568920126,10.812434047632332,0.6911764679455015,0.7075404810748539,0.4158153209205576,0.09041336100016732,1.0671363792624788e-10,0.3809891262095588
Ps30,1.0,0.03787721395073824,0.7957345324749832,0.4790120321593916,3.9973288378962324,0.9999999961764705,0.5218801923764321,0.9999999969677144,0.9999999970543794,0.7272647963817002,0.8498289957913393
phi,1.0,0.03610693911705097,0.5283774434807363,0.17698102378880076,1.723441378235061,0.9999999961764705,0.387701717879944,0.1892969708868063,0.11033125502142749,0.9699196416422277,0.5314499163213753
NRf,0.7384615384615385,0.03593433254559856,0.4805517841656682,0.22082636460232408,9.060704580770475,0.0,0.3746189546813541,0.04427591729553736,0.23948299151369812,0.18693345669167982,0.16906226403645389
NRc,0.95,0.04418525502752868,0.6557177380981906,0.15918313941456042,10.268041730615728,0.8088235263192038,0.9999999242047213,0.5754291006790558,0.05790544123660638,0.05809409481902117,0.5000504174517217
BPR,1.0,0.03177697262533589,0.7362380603287879,0.3922325592017417,3.01739124055234,0.9999999961764705,0.059510700630316084,0.8195897067767672,0.7443805990428192,0.8318375205234163,0.6910637046299579
htBleed,1.0,0.030991822130397872,0.6384913213579939,0.2913735990817541,2.094899235150859,0.9999999961764705,0.0,0.5231936868647291,0.44728837445043096,0.9302800154998938,0.5801524145983048
W31,1.0,0.03345977332189687,0.4701651254504879,0.15093714721254514,1.4488047628508784,0.9999999961764705,0.18705904851925662,0.012780602610062534,0.03361587723204242,0.9992271190751055,0.44653652872258753
W32,1.0,0.034513100196648994,0.4659502840110314,0.13952499253297823,1.4415621947453792,0.9999999961764705,0.2668962526137262,0.0,0.0,1.0,0.4533792497580393
