,MK_sig_frac,Monotonicity,Trendability,MI,VIF,MK_norm,Mono_norm,Trend_norm,MI_norm,VIF_norm,Composite,MeanCompositeAllDatasets,Selected
Ps30,1.0,0.039,0.8105,0.5016,5.9286,1.0,0.3182,1.0,1.0,0.7505,0.8137,0.8276,True
P30,1.0,0.0444,0.7614,0.4222,4.256,1.0,0.55,0.7061,0.7064,0.8645,0.7654,0.641,True
T50,1.0,0.0364,0.7815,0.4632,4.4741,1.0,0.206,0.8264,0.8581,0.8497,0.748,0.7615,True
phi,1.0,0.0376,0.7896,0.4433,5.1923,1.0,0.2596,0.8746,0.7844,0.8007,0.7439,0.657,True
BPR,1.0,0.0371,0.7247,0.3943,3.308,1.0,0.2395,0.4864,0.6032,0.9291,0.6516,0.6892,True
W32,1.0,0.0364,0.7167,0.3834,3.1032,1.0,0.2074,0.4381,0.5626,0.9431,0.6302,0.4963,True
W31,1.0,0.0344,0.7141,0.3672,3.051,1.0,0.1214,0.4225,0.503,0.9466,0.5987,0.4959,True
T24,1.0,0.0355,0.6752,0.3423,2.5873,1.0,0.171,0.19,0.4107,0.9782,0.55,0.5302,True
htBleed,1.0,0.0316,0.6731,0.3344,2.5428,1.0,0.0,0.1771,0.3814,0.9813,0.5079,0.5648,True
T30,1.0,0.0343,0.6439,0.3056,2.2678,1.0,0.1164,0.0025,0.2752,1.0,0.4788,0.5518,True
Nf,0.98,0.0351,0.6834,0.2628,4.6158,0.7143,0.1511,0.239,0.1168,0.84,0.4122,0.3682,False
NRf,0.98,0.0326,0.6872,0.264,4.7085,0.7143,0.0439,0.2616,0.1213,0.8337,0.395,0.3871,False
NRc,0.93,0.0549,0.6809,0.2312,16.3847,0.0,1.0,0.2242,0.0,0.038,0.2524,0.4926,False
Nc,0.97,0.0446,0.6435,0.2322,16.9425,0.5714,0.5618,0.0,0.0034,0.0,0.2273,0.4398,False
