strategy,engine_id,n_cycles,true_rul,final_rul_median,final_abs_error,trajectory_rmse
fixed_parameters,1,31,112.0,335.5,223.5,221.75729613046957
fixed_parameters,2,49,98.0,217.5,119.5,193.28641378819682
fixed_parameters,3,126,69.0,87.0,18.0,95.82155207086682
fixed_parameters,4,106,82.0,118.0,36.0,104.30678626233941
fixed_parameters,5,98,91.0,127.0,36.0,108.01509248286386
fixed_parameters,6,105,93.0,141.0,48.0,102.6260664929214
fixed_parameters,7,160,91.0,226.0,135.0,130.3100749174829
fixed_parameters,8,166,95.0,123.5,28.5,49.26252822122498
fixed_parameters,9,55,111.0,193.0,82.0,156.44483488960688
fixed_parameters,10,192,96.0,176.5,80.5,85.73321173121884
fixed_parameters,11,83,97.0,122.0,25.0,118.70400821482424
fixed_parameters,12,217,124.0,207.5,83.5,59.352128143878495
fixed_parameters,13,195,95.0,177.5,82.5,87.27541140491654
fixed_parameters,14,46,107.0,185.0,78.0,164.4108222662391
fixed_parameters,15,76,83.0,239.0,156.0,193.2081812858593
fixed_parameters,16,113,84.0,231.0,147.0,159.10010345802414
fixed_parameters,17,165,50.0,147.0,97.0,138.89212622489703
fixed_parameters,18,133,28.0,126.0,98.0,177.65169309677398
fixed_parameters,19,135,87.0,212.0,125.0,139.03859709261124
fixed_parameters,20,184,16.0,32.0,16.0,106.58608609945296
fixed_parameters,21,148,57.0,224.0,167.0,166.1767060545344
fixed_parameters,22,39,111.0,276.0,165.0,205.15296044533986
fixed_parameters,23,130,113.0,267.0,154.0,143.13015862386342
fixed_parameters,24,186,20.0,112.0,92.0,168.05502651061607
fixed_parameters,25,48,145.0,254.0,109.0,158.28863404131917
fixed_parameters,26,76,119.0,254.0,135.0,156.59373769155178
fixed_parameters,27,140,66.0,204.0,138.0,158.63319662488232
fixed_parameters,28,158,97.0,145.0,48.0,55.613039177716935
fixed_parameters,29,171,90.0,178.0,88.0,88.0364175708749
fixed_parameters,30,143,115.0,110.5,4.5,45.24739686520014
fixed_parameters,31,196,8.0,13.0,5.0,113.18706860768151
fixed_parameters,32,145,48.0,196.0,148.0,187.59690829008883
fixed_parameters,33,50,106.0,181.5,75.5,170.4877121671823
fixed_parameters,34,203,7.0,28.0,21.0,154.28409675762202
fixed_parameters,35,198,11.0,1.0,10.0,65.55577276971376
fixed_parameters,36,126,19.0,23.0,4.0,120.67120486072757
fixed_parameters,37,121,21.0,119.5,98.5,197.37677398592498
fixed_parameters,38,125,50.0,77.0,27.0,99.24880855708042
fixed_parameters,39,37,142.0,340.0,198.0,189.9965326852899
fixed_parameters,40,133,28.0,36.0,8.0,103.77289583400108
fixed_parameters,41,123,18.0,120.5,102.5,202.58244331990718
fixed_parameters,42,156,10.0,59.0,49.0,172.1865370046132
fixed_parameters,43,172,59.0,118.0,59.0,79.48871866717212
fixed_parameters,44,54,109.0,226.0,117.0,182.1681661013821
fixed_parameters,45,152,114.0,99.0,15.0,48.47079288765446
fixed_parameters,46,146,47.0,88.0,41.0,103.78073896837466
fixed_parameters,47,73,135.0,136.0,1.0,99.61061174695566
fixed_parameters,48,78,92.0,181.0,89.0,148.72428672391896
fixed_parameters,49,303,21.0,31.0,10.0,73.2309291003309
fixed_parameters,50,74,79.0,223.0,144.0,196.08415698781383
fixed_parameters,51,144,114.0,155.0,41.0,64.4142544826497
fixed_parameters,52,189,29.0,146.0,117.0,182.77461762115888
fixed_parameters,53,164,26.0,98.0,72.0,136.21638654513868
fixed_parameters,54,121,97.0,283.5,186.5,181.53992343738852
fixed_parameters,55,113,137.0,225.0,88.0,88.15416654728249
fixed_parameters,56,136,15.0,9.0,6.0,110.9995197392896
fixed_parameters,57,160,103.0,116.0,13.0,47.77301474158816
fixed_parameters,58,176,37.0,89.0,52.0,110.34874340224516
