strategy,engine_id,n_cycles,true_rul,final_rul_median,final_abs_error,trajectory_rmse
pmmh_pooled,1,233,44.0,35.0,9.0,59.2743494089482
pmmh_pooled,2,124,51.0,179.0,128.0,132.64952001907253
pmmh_pooled,3,234,27.0,1.0,26.0,45.207321564951435
pmmh_pooled,4,68,120.0,192.5,72.5,124.53909142962962
pmmh_pooled,5,138,101.0,289.0,188.0,179.54265065938262
pmmh_pooled,6,64,99.0,206.5,107.5,154.6329322945148
pmmh_pooled,7,158,71.0,175.0,104.0,80.3361903566049
pmmh_pooled,8,192,55.0,166.5,111.5,78.47715630997341
pmmh_pooled,9,238,55.0,178.5,123.5,80.65382765849607
pmmh_pooled,10,131,66.0,206.0,140.0,125.00690820605332
pmmh_pooled,11,103,77.0,179.0,102.0,123.9175265975651
pmmh_pooled,12,146,115.0,183.5,68.5,56.6222613417378
pmmh_pooled,13,65,115.0,203.0,88.0,144.2124767887247
pmmh_pooled,14,169,31.0,148.0,117.0,105.89500214500183
pmmh_pooled,15,112,108.0,214.5,106.5,129.42430909884854
pmmh_pooled,16,126,56.0,293.0,237.0,232.51949483041304
pmmh_pooled,17,230,136.0,160.5,24.5,41.77270275732914
pmmh_pooled,18,244,132.0,235.0,103.0,83.90239376995075
pmmh_pooled,19,115,85.0,230.5,145.5,132.03737119203922
pmmh_pooled,20,207,56.0,64.0,8.0,51.141557829206455
pmmh_pooled,21,263,18.0,1.0,17.0,146.2709541064429
pmmh_pooled,22,119,119.0,195.0,76.0,91.86073675941857
pmmh_pooled,23,405,78.0,50.5,27.5,83.27084694307656
pmmh_pooled,24,475,9.0,1.0,8.0,75.97526605831386
pmmh_pooled,25,169,58.0,160.0,102.0,84.16944553773762
pmmh_pooled,26,130,11.0,168.5,157.5,176.05548185815655
pmmh_pooled,27,104,88.0,103.0,15.0,91.36564063400168
pmmh_pooled,28,70,144.0,248.5,104.5,124.54650594399324
pmmh_pooled,29,89,124.0,209.0,85.0,102.64522460802286
pmmh_pooled,30,333,89.0,94.0,5.0,68.1356126538223
pmmh_pooled,31,152,79.0,224.5,145.5,100.22195762143986
pmmh_pooled,32,120,55.0,192.5,137.5,117.11643956621404
pmmh_pooled,33,180,71.0,191.0,120.0,92.62967637018087
pmmh_pooled,34,105,65.0,167.0,102.0,124.2319355460737
pmmh_pooled,35,144,87.0,154.5,67.5,81.22752894390752
pmmh_pooled,36,90,137.0,263.5,126.5,131.27611909423757
pmmh_pooled,37,47,145.0,206.5,61.5,144.21576255809475
pmmh_pooled,38,133,22.0,168.0,146.0,158.29429145350414
pmmh_pooled,39,310,8.0,1.0,7.0,100.14982727506727
pmmh_pooled,40,313,41.0,14.0,27.0,70.16243704351342
pmmh_pooled,41,101,131.0,250.5,119.5,116.76145607075297
pmmh_pooled,42,87,115.0,163.0,48.0,93.4131842327717
pmmh_pooled,43,133,128.0,248.0,120.0,111.01637419023315
pmmh_pooled,44,146,69.0,165.5,96.5,90.49044451181133
pmmh_pooled,45,88,111.0,228.0,117.0,131.18943407773494
pmmh_pooled,46,180,7.0,1.0,6.0,150.11184256339598
pmmh_pooled,47,56,137.0,216.0,79.0,133.99668506027623
pmmh_pooled,48,179,55.0,150.5,95.5,80.62192785710751
pmmh_pooled,49,211,135.0,282.5,147.5,111.2259559192106
pmmh_pooled,50,147,11.0,153.5,142.5,138.08325892213662
pmmh_pooled,51,118,78.0,226.0,148.0,116.07219407458504
pmmh_pooled,52,38,120.0,263.0,143.0,198.24790103090095
pmmh_pooled,53,108,87.0,204.5,117.5,118.86870285537114
