strategy,engine_id,n_cycles,true_rul,final_rul_median,final_abs_error,trajectory_rmse
one_shot,1,31,112.0,232.5,120.5,173.8300523407106
one_shot,2,49,98.0,173.5,75.5,172.50952354663121
one_shot,3,126,69.0,97.5,28.5,86.7269021443494
one_shot,4,106,82.0,118.0,36.0,93.90452045702672
one_shot,5,98,91.0,121.0,30.0,96.04383565511603
one_shot,6,105,93.0,149.5,56.5,91.25070123670545
one_shot,7,160,91.0,126.0,35.0,25.291951536012398
one_shot,8,166,95.0,118.5,23.5,41.88587118372109
one_shot,9,55,111.0,170.5,59.5,145.4609913344468
one_shot,10,192,96.0,97.0,1.0,45.16539339379949
one_shot,11,83,97.0,109.0,12.0,108.61737862680648
one_shot,12,217,124.0,109.0,15.0,73.7865585401444
one_shot,13,195,95.0,95.5,0.5,41.89593334405179
one_shot,14,46,107.0,156.0,49.0,157.84255363852435
one_shot,15,76,83.0,155.0,72.0,112.65422177712883
one_shot,16,113,84.0,130.0,46.0,54.33495753766142
one_shot,17,165,50.0,72.0,22.0,25.926089585823025
one_shot,18,133,28.0,71.0,43.0,77.55140182364231
one_shot,19,135,87.0,105.5,18.5,24.86511761633301
one_shot,20,184,16.0,21.0,5.0,58.361190294652964
one_shot,21,148,57.0,113.0,56.0,40.91120080554165
one_shot,22,39,111.0,217.5,106.5,191.44539624548233
one_shot,23,130,113.0,137.0,24.0,24.40184419260151
one_shot,24,186,20.0,54.0,34.0,41.36436573535453
one_shot,25,48,145.0,175.0,30.0,101.57427495844277
one_shot,26,76,119.0,175.0,56.0,92.40564177353538
one_shot,27,140,66.0,102.0,36.0,38.860326812830586
one_shot,28,158,97.0,124.0,27.0,41.90168949193434
one_shot,29,171,90.0,124.0,34.0,32.623741041336196
one_shot,30,143,115.0,108.0,7.0,45.05689876005811
one_shot,31,196,8.0,10.0,2.0,50.26371779455447
one_shot,32,145,48.0,91.0,43.0,50.76810022051249
one_shot,33,50,106.0,163.5,57.5,164.71954953799502
one_shot,34,203,7.0,9.0,2.0,34.1153866446114
one_shot,35,198,11.0,7.0,4.0,74.55904039786527
one_shot,36,126,19.0,28.0,9.0,111.6767319557546
one_shot,37,121,21.0,63.0,42.0,86.6376275783028
one_shot,38,125,50.0,89.0,39.0,94.42340811472545
one_shot,39,37,142.0,219.0,77.0,124.96515730610889
one_shot,40,133,28.0,48.0,20.0,99.57712279162642
one_shot,41,123,18.0,58.0,40.0,85.09308628398274
one_shot,42,156,10.0,27.0,17.0,61.21242960756858
